# M_MTOT,R_RTOT,MATM_MTOT,RATM_RTOT,M_G,R_CM,REQ_CM,P_CGS,T_K,RHO_GCC,L_CGS,S_CGS,KROSS_CGS,GRADT,GRADAD,GRADRAD,TAUV,VSOUND_CGS,CP_CGS,X,Y,Z
 9.99148643625D-01, 9.82173177013D-01,-8.51356374770D-04,-1.78268229873D-02, 1.89699480525D+30, 6.86472196862D+09, 7.01807081924D+09, 6.79074718775D+09, 2.22066823744D+03, 6.04450688555D-02, 1.00000000000D+00, 5.21187465790D+08, 1.00000000000D+33, 1.95838022868D-01, 1.95838004563D-01, 1.94426106722D+33, 0.00000000000D+00, 4.14471705518D+05, 1.62696790326D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99116873673D-01, 9.81934852818D-01,-8.83126327465D-04,-1.80651471824D-02, 1.89693448646D+30, 6.86305624472D+09, 7.01632177400D+09, 7.04922595788D+09, 2.23699512072D+03, 6.18929074752D-02, 1.00000000000D+00, 5.21187425494D+08, 1.00000000000D+33, 1.96384052040D-01, 1.96384034114D-01, 1.96004857586D+33, 0.00000000000D+00, 4.18052687640D+05, 1.62677777008D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99084003583D-01, 9.81693922400D-01,-9.15996416659D-04,-1.83060776000D-02, 1.89687207894D+30, 6.86137230510D+09, 7.01455368260D+09, 7.31691952362D+09, 2.25345663809D+03, 6.33735934718D-02, 1.00000000000D+00, 5.21187391538D+08, 1.00000000000D+33, 1.97076574814D-01, 1.97076557257D-01, 1.97574683171D+33, 0.00000000000D+00, 4.22256405208D+05, 1.62578329009D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99050008156D-01, 9.81450442293D-01,-9.49991843592D-04,-1.85495577068D-02, 1.89680753485D+30, 6.85967054488D+09, 7.01276696196D+09, 7.59405365655D+09, 2.27006052313D+03, 6.48883192940D-02, 1.00000000000D+00, 5.21187427446D+08, 1.00000000000D+33, 1.97829202032D-01, 1.97829184838D-01, 1.99130843031D+33, 0.00000000000D+00, 4.27379840270D+05, 1.62408027535D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99014849291D-01, 9.81204382959D-01,-9.85150708687D-04,-1.87956170413D-02, 1.89674078183D+30, 6.85795075762D+09, 7.01096139803D+09, 7.88096106313D+09, 2.28680533060D+03, 6.64380442660D-02, 1.00000000000D+00, 5.21187415496D+08, 1.00000000000D+33, 1.98539270468D-01, 1.98539253639D-01, 2.00674550298D+33, 0.00000000000D+00, 4.33558654790D+05, 1.62186869118D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.98978494448D-01, 9.80955760680D-01,-1.02150555223D-03,-1.90442393203D-02, 1.89667175812D+30, 6.85621305712D+09, 7.00913711273D+09, 8.17793006448D+09, 2.30369433539D+03, 6.80237347053D-02, 1.00000000000D+00, 5.21187405802D+08, 1.00000000000D+33, 1.99338334054D-01, 1.99338317598D-01, 2.02203970568D+33, 0.00000000000D+00, 4.40679190357D+05, 1.61937356896D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.98940911202D-01, 9.80704599994D-01,-1.05908879829D-03,-1.92954000060D-02, 1.89660040215D+30, 6.85445761488D+09, 7.00729428782D+09, 8.48524767565D+09, 2.32073142734D+03, 6.96466674784D-02, 1.00000000000D+00, 5.21187238847D+08, 1.00000000000D+33, 2.00390908860D-01, 2.00390892786D-01, 2.03716888052D+33, 0.00000000000D+00, 4.49008248624D+05, 1.61679838784D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.98902126290D-01, 9.80451309343D-01,-1.09787371019D-03,-1.95486906574D-02, 1.89652676468D+30, 6.85268728564D+09, 7.00543592335D+09, 8.80272030201D+09, 2.33795908021D+03, 7.13029218850D-02, 1.00000000000D+00, 5.21187252572D+08, 1.00000000000D+33, 2.02298180996D-01, 2.02298165312D-01, 2.05186217759D+33, 0.00000000000D+00, 4.58651487568D+05, 1.61418943147D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.98862128537D-01, 9.80196020837D-01,-1.13787146260D-03,-1.98039791628D-02, 1.89645082450D+30, 6.85090299275D+09, 7.00356299046D+09, 9.13046282172D+09, 2.35539208511D+03, 7.29915311725D-02, 1.00000000000D+00, 5.21187285748D+08, 1.00000000000D+33, 2.04110436399D-01, 2.04110421112D-01, 2.06602819227D+33, 0.00000000000D+00, 4.69509981392D+05, 1.61177119005D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.98820875575D-01, 9.79938666697D-01,-1.17912442476D-03,-2.00613333026D-02, 1.89637250116D+30, 6.84910426249D+09, 7.00167499221D+09, 9.46884368833D+09, 2.37302522417D+03, 7.47138041909D-02, 1.00000000000D+00, 5.21187322540D+08, 1.00000000000D+33, 2.05811013422D-01, 2.05810998540D-01, 2.07970512501D+33, 0.00000000000D+00, 4.81733269254D+05, 1.60970985317D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.98778361160D-01, 9.79679402168D-01,-1.22163883982D-03,-2.03205978320D-02, 1.89629178282D+30, 6.84729217991D+09, 6.99977307091D+09, 9.81794104967D+09, 2.39087569920D+03, 7.64639328567D-02, 1.00000000000D+00, 5.21187260526D+08, 1.00000000000D+33, 2.08241290743D-01, 2.08241276214D-01, 2.09278757246D+33, 0.00000000000D+00, 4.94375460559D+05, 1.60574737821D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.98734599842D-01, 9.79418470908D-01,-1.26540015754D-03,-2.05815290925D-02, 1.89620869709D+30, 6.84546844800D+09, 6.99785901643D+09, 1.01776610832D+10, 2.40897150689D+03, 7.82354445702D-02, 1.00000000000D+00, 5.21187216857D+08, 1.00000000000D+33, 2.10896821509D-01, 2.10896807280D-01, 2.10510168992D+33, 0.00000000000D+00, 5.07411568989D+05, 1.60063883258D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.98689581268D-01, 9.79155945969D-01,-1.31041873158D-03,-2.08440540313D-02, 1.89612322432D+30, 6.84363357737D+09, 6.99593336534D+09, 1.05481119068D+10, 2.42732415523D+03, 8.00265078222D-02, 1.00000000000D+00, 5.21187191544D+08, 1.00000000000D+33, 2.13707637520D-01, 2.13707623543D-01, 2.11658123890D+33, 0.00000000000D+00, 5.20750514830D+05, 1.59467192606D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.98643276621D-01, 9.78891787024D-01,-1.35672337859D-03,-2.11082129759D-02, 1.89603530980D+30, 6.84178728616D+09, 6.99399582332D+09, 1.09295560521D+10, 2.44593396609D+03, 8.18363139790D-02, 1.00000000000D+00, 5.21187223446D+08, 1.00000000000D+33, 2.16233089790D-01, 2.16233076022D-01, 2.12723304530D+33, 0.00000000000D+00, 5.33513945346D+05, 1.58824034000D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.98595635329D-01, 9.78625834822D-01,-1.40436467145D-03,-2.13741651777D-02, 1.89594485751D+30, 6.83992846129D+09, 6.99204522378D+09, 1.13224359642D+10, 2.46478976383D+03, 8.36652492797D-02, 1.00000000000D+00, 5.21187239134D+08, 1.00000000000D+33, 2.18661331338D-01, 2.18661317740D-01, 2.13713780365D+33, 0.00000000000D+00, 5.46026268903D+05, 1.58161169628D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.98546623901D-01, 9.78358034258D-01,-1.45337609949D-03,-2.16419657419D-02, 1.89585180386D+30, 6.83805671763D+09, 6.99008116423D+09, 1.17270552729D+10, 2.48389083232D+03, 8.55128197072D-02, 1.00000000000D+00, 5.21187252957D+08, 1.00000000000D+33, 2.21043174411D-01, 2.21043160948D-01, 2.14631000469D+33, 0.00000000000D+00, 5.58320507307D+05, 1.57476196082D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.98496222582D-01, 9.78088405320D-01,-1.50377741769D-03,-2.19115946798D-02, 1.89575611135D+30, 6.83617219489D+09, 6.98810379267D+09, 1.21436041454D+10, 2.50324405407D+03, 8.73777225648D-02, 1.00000000000D+00, 5.21186778785D+08, 1.00000000000D+33, 2.24134757763D-01, 2.24134744400D-01, 2.15471704027D+33, 0.00000000000D+00, 5.69803012545D+05, 1.56767111448D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.98444504092D-01, 9.77817440343D-01,-1.55549590811D-03,-2.21825596566D-02, 1.89565791805D+30, 6.83427833414D+09, 6.98611672214D+09, 1.25715109205D+10, 2.52290264603D+03, 8.92535772778D-02, 1.00000000000D+00, 5.21186806237D+08, 1.00000000000D+33, 2.27615246163D-01, 2.27615232868D-01, 2.16203848848D+33, 0.00000000000D+00, 5.80269094774D+05, 1.56038732648D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.98391438505D-01, 9.77545065226D-01,-1.60856149456D-03,-2.24549347744D-02, 1.89555716713D+30, 6.83237461746D+09, 6.98411940995D+09, 1.30110489271D+10, 2.54286458232D+03, 9.11400068098D-02, 1.00000000000D+00, 5.21186843250D+08, 1.00000000000D+33, 2.31016759705D-01, 2.31016746449D-01, 2.16830501413D+33, 0.00000000000D+00, 5.89955493430D+05, 1.55307839715D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.98336991023D-01, 9.77271185396D-01,-1.66300897738D-03,-2.27288146035D-02, 1.89545379253D+30, 6.83046038388D+09, 6.98211116378D+09, 1.34625339958D+10, 2.56312587541D+03, 9.30369335274D-02, 1.00000000000D+00, 5.21186829809D+08, 1.00000000000D+33, 2.34333381346D-01, 2.34333368102D-01, 2.17356060351D+33, 0.00000000000D+00, 5.98490867562D+05, 1.54591925575D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.98281140424D-01, 9.76995777397D-01,-1.71885957600D-03,-2.30042226031D-02, 1.89534775396D+30, 6.82853546943D+09, 6.98009181332D+09, 1.39261713885D+10, 2.58368952404D+03, 9.49431537796D-02, 1.00000000000D+00, 5.21186906568D+08, 1.00000000000D+33, 2.37589361532D-01, 2.37589348278D-01, 2.17780713234D+33, 0.00000000000D+00, 6.05037646965D+05, 1.53920129009D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.98223835246D-01, 9.76718671616D-01,-1.77616475395D-03,-2.32813283836D-02, 1.89523895371D+30, 6.82659868864D+09, 6.97806011642D+09, 1.44024179772D+10, 2.60454456101D+03, 9.68591206057D-02, 1.00000000000D+00, 5.21186998776D+08, 1.00000000000D+33, 2.40472155611D-01, 2.40472142328D-01, 2.18113300785D+33, 0.00000000000D+00, 6.10448913161D+05, 1.53320583360D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.98165005385D-01, 9.76439622873D-01,-1.83499461527D-03,-2.35603771272D-02, 1.89512725867D+30, 6.82464832786D+09, 6.97601427720D+09, 1.48918881008D+10, 2.62567279430D+03, 9.87864415769D-02, 1.00000000000D+00, 5.21187106404D+08, 1.00000000000D+33, 2.42901147202D-01, 2.42901133878D-01, 2.18366921223D+33, 0.00000000000D+00, 6.14889015856D+05, 1.52818264201D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.98104577540D-01, 9.76158390181D-01,-1.89542246009D-03,-2.38416098194D-02, 1.89501252969D+30, 6.82268270277D+09, 6.97395253077D+09, 1.53952249353D+10, 2.64705649607D+03, 1.00727389384D-01, 1.00000000000D+00, 5.21187181043D+08, 1.00000000000D+33, 2.45052454877D-01, 2.45052441509D-01, 2.18554117496D+33, 0.00000000000D+00, 6.18266902716D+05, 1.52423965333D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.98042488021D-01, 9.75874797187D-01,-1.95751197872D-03,-2.41252028135D-02, 1.89489464583D+30, 6.82070058078D+09, 6.97187358708D+09, 1.59129966532D+10, 2.66868385206D+03, 1.02684233825D-01, 1.00000000000D+00, 5.21187863418D+08, 1.00000000000D+33, 2.46194083811D-01, 2.46194070445D-01, 2.18683629846D+33, 0.00000000000D+00, 6.21233820299D+05, 1.52524234963D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.97978487280D-01, 9.75587862044D-01,-2.02151271971D-03,-2.44121379558D-02, 1.89477313331D+30, 6.81869509944D+09, 6.96977024984D+09, 1.64473210184D+10, 2.69046585514D+03, 1.04667619068D-01, 1.00000000000D+00, 5.21187880775D+08, 1.00000000000D+33, 2.46054912709D-01, 2.46054899399D-01, 2.18809359148D+33, 0.00000000000D+00, 6.23667539100D+05, 1.53325872162D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.97912483799D-01, 9.75297369627D-01,-2.08751620064D-03,-2.47026303733D-02, 1.89464781836D+30, 6.81666475517D+09, 6.96764094649D+09, 1.69990101869D+10, 2.71238672810D+03, 1.06679350963D-01, 1.00000000000D+00, 5.21187330879D+08, 1.00000000000D+33, 2.46409986293D-01, 2.46409973008D-01, 2.18940738958D+33, 0.00000000000D+00, 6.26127150058D+05, 1.54108958399D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.97844563725D-01, 9.75003883618D-01,-2.15543627491D-03,-2.49961163816D-02, 1.89451886455D+30, 6.81461348774D+09, 6.96548981192D+09, 1.75673887021D+10, 2.73450490897D+03, 1.08715403284D-01, 1.00000000000D+00, 5.21187434571D+08, 1.00000000000D+33, 2.47332648623D-01, 2.47332635292D-01, 2.19043983804D+33, 0.00000000000D+00, 6.27819788861D+05, 1.54932962732D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.97774641918D-01, 9.74707207937D-01,-2.22535808181D-03,-2.52927920630D-02, 1.89438611022D+30, 6.81253992667D+09, 6.96331541249D+09, 1.81532162675D+10, 2.75680619522D+03, 1.10775203726D-01, 1.00000000000D+00, 5.21187531295D+08, 1.00000000000D+33, 2.47770203081D-01, 2.47770189611D-01, 2.19128072607D+33, 0.00000000000D+00, 6.27041605460D+05, 1.55806673258D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.97702607465D-01, 9.74407047611D-01,-2.29739253475D-03,-2.55929523886D-02, 1.89424934480D+30, 6.81044201030D+09, 6.96111558950D+09, 1.87574700705D+10, 2.77926790321D+03, 1.12858024393D-01, 1.00000000000D+00, 5.21187621250D+08, 1.00000000000D+33, 2.47765368703D-01, 2.47765354991D-01, 2.19206461168D+33, 0.00000000000D+00, 6.24137222359D+05, 1.56722669641D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.97628230921D-01, 9.74102641863D-01,-2.37176907927D-03,-2.58973581373D-02, 1.89410813266D+30, 6.80831442132D+09, 6.95888477330D+09, 1.93821337388D+10, 2.80182404766D+03, 1.14964032414D-01, 1.00000000000D+00, 5.21187331044D+08, 1.00000000000D+33, 2.45819835253D-01, 2.45819821361D-01, 2.19316479314D+33, 0.00000000000D+00, 6.14400918580D+05, 1.57494202568D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.97551391278D-01, 9.73793698482D-01,-2.44860872244D-03,-2.62063015185D-02, 1.89396224406D+30, 6.80615511738D+09, 6.95662082754D+09, 2.00282862067D+10, 2.82445489320D+03, 1.17094849505D-01, 1.00000000000D+00, 5.21187046168D+08, 1.00000000000D+33, 2.45129502741D-01, 2.45129489003D-01, 2.19468290275D+33, 0.00000000000D+00, 6.10969121333D+05, 1.57931432806D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.97472193513D-01, 9.73480850353D-01,-2.52780648691D-03,-2.65191496474D-02, 1.89381187829D+30, 6.80396852190D+09, 6.95432839139D+09, 2.06951015128D+10, 2.84722616187D+03, 1.19253375714D-01, 1.00000000000D+00, 5.21186883542D+08, 1.00000000000D+33, 2.45410046696D-01, 2.45410033309D-01, 2.19624479314D+33, 0.00000000000D+00, 6.12714434374D+05, 1.58210994526D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.97390676040D-01, 9.73164449154D-01,-2.60932396035D-03,-2.68355508459D-02, 1.89365710830D+30, 6.80175709289D+09, 6.95201003979D+09, 2.13822946197D+10, 2.87017572564D+03, 1.21438072874D-01, 1.00000000000D+00, 5.21189340252D+08, 1.00000000000D+33, 2.43451038370D-01, 2.43451025335D-01, 2.19764176829D+33, 0.00000000000D+00, 6.04053977163D+05, 1.58514252145D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.97305832636D-01, 9.72840837426D-01,-2.69416736414D-03,-2.71591625735D-02, 1.89349602367D+30, 6.79949526719D+09, 6.94963899338D+09, 2.20984609773D+10, 2.89296902891D+03, 1.23639565352D-01, 1.00000000000D+00, 5.21189239720D+08, 1.00000000000D+33, 2.36874629226D-01, 2.36874616501D-01, 2.20069763377D+33, 0.00000000000D+00, 5.75641554470D+05, 1.58915553774D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.97217400603D-01, 9.72509274173D-01,-2.78259939708D-03,-2.74907258270D-02, 1.89332812562D+30, 6.79717786573D+09, 6.94720983037D+09, 2.28459082157D+10, 2.91555551141D+03, 1.25846320747D-01, 1.00000000000D+00, 5.21189054490D+08, 1.00000000000D+33, 2.30937326563D-01, 2.30937314289D-01, 2.20564271947D+33, 0.00000000000D+00, 5.53599130686D+05, 1.59296142457D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.97125342725D-01, 9.72169884681D-01,-2.87465727485D-03,-2.78301153187D-02, 1.89315334350D+30, 6.79480576420D+09, 6.94472347772D+09, 2.36250588933D+10, 2.93796552826D+03, 1.28056867710D-01, 1.00000000000D+00, 5.21188787267D+08, 1.00000000000D+33, 2.26008995866D-01, 2.26008984321D-01, 2.21227038681D+33, 0.00000000000D+00, 5.38663918740D+05, 1.59520535001D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.97029786924D-01, 9.71823390469D-01,-2.97021307590D-03,-2.81766095314D-02, 1.89297192019D+30, 6.79238400550D+09, 6.94218522574D+09, 2.44349273364D+10, 2.96028312792D+03, 1.30281789889D-01, 1.00000000000D+00, 5.21188825013D+08, 1.00000000000D+33, 2.23117623897D-01, 2.23117613172D-01, 2.22009604243D+33, 0.00000000000D+00, 5.36357003603D+05, 1.59639992506D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.96930751639D-01, 9.71470143650D-01,-3.06924836113D-03,-2.85298563497D-02, 1.89278389069D+30, 6.78991505069D+09, 6.93959765821D+09, 2.52754475081D+10, 2.98255210710D+03, 1.32532764645D-01, 1.00000000000D+00, 5.21188939476D+08, 1.00000000000D+33, 2.19954271257D-01, 2.19954261172D-01, 2.22886387623D+33, 0.00000000000D+00, 5.33567743074D+05, 1.59903187241D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.96827981138D-01, 9.71109513686D-01,-3.17201886248D-03,-2.88904863145D-02, 1.89258876946D+30, 6.78739449270D+09, 6.93695617156D+09, 2.61489169787D+10, 3.00472577698D+03, 1.34803840469D-01, 1.00000000000D+00, 5.21189002878D+08, 1.00000000000D+33, 2.15976334914D-01, 2.15976325311D-01, 2.23880340537D+33, 0.00000000000D+00, 5.28978818449D+05, 1.60588185699D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.96721219447D-01, 9.70740879389D-01,-3.27878055257D-03,-2.92591206108D-02, 1.89238607052D+30, 6.78481798989D+09, 6.93425623010D+09, 2.70576484881D+10, 3.02676171358D+03, 1.37090011735D-01, 1.00000000000D+00, 5.21188266497D+08, 1.00000000000D+33, 2.12370828429D-01, 2.12370819205D-01, 2.25011783931D+33, 0.00000000000D+00, 5.27127304928D+05, 1.61305220593D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.96610547909D-01, 9.70364805223D-01,-3.38945209121D-03,-2.96351947767D-02, 1.89217594830D+30, 6.78218948746D+09, 6.93150196954D+09, 2.80010498770D+10, 3.04872533569D+03, 1.39400794598D-01, 1.00000000000D+00, 5.21188179689D+08, 1.00000000000D+33, 2.09659516068D-01, 2.09659507177D-01, 2.26244213365D+33, 0.00000000000D+00, 5.29099327602D+05, 1.61903510720D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.96495910723D-01, 9.69981391962D-01,-3.50408927676D-03,-3.00186080383D-02, 1.89195829685D+30, 6.77950968974D+09, 6.92869414059D+09, 2.89797360389D+10, 3.07063608700D+03, 1.41734346205D-01, 1.00000000000D+00, 5.21188103344D+08, 1.00000000000D+33, 2.07319859863D-01, 2.07319851274D-01, 2.27565986481D+33, 0.00000000000D+00, 5.31128347063D+05, 1.62378563862D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.96377246240D-01, 9.69590702613D-01,-3.62275375967D-03,-3.04092973868D-02, 1.89173299914D+30, 6.77677903712D+09, 6.92583321807D+09, 2.99943774669D+10, 3.09251055960D+03, 1.44084768416D-01, 1.00000000000D+00, 5.21188039268D+08, 1.00000000000D+33, 2.05293610614D-01, 2.05293602300D-01, 2.28967124578D+33, 0.00000000000D+00, 5.33741676316D+05, 1.62747378153D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.96254468296D-01, 9.69192713728D-01,-3.74553170417D-03,-3.08072862723D-02, 1.89149989156D+30, 6.77399736571D+09, 6.92291903650D+09, 3.10458384203D+10, 3.11435811471D+03, 1.46457967931D-01, 1.00000000000D+00, 5.21188046295D+08, 1.00000000000D+33, 2.03341943796D-01, 2.03341935732D-01, 2.30441532541D+33, 0.00000000000D+00, 5.39120565689D+05, 1.63070274557D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.96127438150D-01, 9.68787261232D-01,-3.87256185031D-03,-3.12127387679D-02, 1.89125871070D+30, 6.77116352875D+09, 6.91995040426D+09, 3.21354507597D+10, 3.13617340276D+03, 1.48857431219D-01, 1.00000000000D+00, 5.21188053910D+08, 1.00000000000D+33, 2.01366233470D-01, 2.01366225631D-01, 2.31990963005D+33, 0.00000000000D+00, 5.44375757848D+05, 1.63381226300D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.95996009888D-01, 9.68374162398D-01,-4.00399011186D-03,-3.16258376020D-02, 1.89100917953D+30, 6.76827624908D+09, 6.91692599669D+09, 3.32646274783D+10, 3.15794977270D+03, 1.51279503498D-01, 1.00000000000D+00, 5.21188065493D+08, 1.00000000000D+33, 1.99356419763D-01, 1.99356412124D-01, 2.33617857338D+33, 0.00000000000D+00, 5.49537304868D+05, 1.63683450479D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.95860103380D-01, 9.67953436794D-01,-4.13989662009D-03,-3.20465632058D-02, 1.89075114591D+30, 6.76533566349D+09, 6.91384596803D+09, 3.44342195045D+10, 3.17969908515D+03, 1.53723061898D-01, 1.00000000000D+00, 5.21187932629D+08, 1.00000000000D+33, 1.98096661428D-01, 1.98096653970D-01, 2.35315029256D+33, 0.00000000000D+00, 5.56530436784D+05, 1.63965762466D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.95719771314D-01, 9.67525520090D-01,-4.28022868638D-03,-3.24744799104D-02, 1.89048470988D+30, 6.76234481700D+09, 6.91071351557D+09, 3.56439260724D+10, 3.20146768856D+03, 1.56190166311D-01, 1.00000000000D+00, 5.21187911082D+08, 1.00000000000D+33, 1.97131123525D-01, 1.97131116232D-01, 2.37057530218D+33, 0.00000000000D+00, 5.64045182339D+05, 1.64204961149D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.95574914868D-01, 9.67090370902D-01,-4.42508513210D-03,-3.29096290981D-02, 1.89020968381D+30, 6.75930342037D+09, 6.90752834894D+09, 3.68947734184D+10, 3.22325948580D+03, 1.58677771261D-01, 1.00000000000D+00, 5.21187896528D+08, 1.00000000000D+33, 1.96246904198D-01, 1.96246897055D-01, 2.38842532953D+33, 0.00000000000D+00, 5.71649808968D+05, 1.64412624861D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.95425427592D-01, 9.66647919175D-01,-4.57457240777D-03,-3.33520808251D-02, 1.88992586559D+30, 6.75621098396D+09, 6.90428996739D+09, 3.81878600917D+10, 3.24507637040D+03, 1.61183457422D-01, 1.00000000000D+00, 5.21187878790D+08, 1.00000000000D+33, 1.95418136138D-01, 1.95418129132D-01, 2.40668221160D+33, 0.00000000000D+00, 5.79937323480D+05, 1.64604367686D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.95271188099D-01, 9.66198059266D-01,-4.72881190061D-03,-3.38019407342D-02, 1.88963302476D+30, 6.75306676940D+09, 6.90099760583D+09, 3.95244071369D+10, 3.26691710948D+03, 1.63711985156D-01, 1.00000000000D+00, 5.21187901263D+08, 1.00000000000D+33, 1.94543297611D-01, 1.94543290732D-01, 2.42534382587D+33, 0.00000000000D+00, 5.88961010447D+05, 1.64814001365D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.95112041449D-01, 9.65740604076D-01,-4.88795855122D-03,-3.42593959241D-02, 1.88933086715D+30, 6.74986946900D+09, 6.89764990738D+09, 4.09059517599D+10, 3.28877262761D+03, 1.66263177339D-01, 1.00000000000D+00, 5.21187929543D+08, 1.00000000000D+33, 1.93565991525D-01, 1.93565984764D-01, 2.44444892531D+33, 0.00000000000D+00, 5.98094037523D+05, 1.65056701502D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.94947820067D-01, 9.65275335643D-01,-5.05217993299D-03,-3.47246643565D-02, 1.88901907459D+30, 6.74661755936D+09, 6.89424529030D+09, 4.23341552399D+10, 3.31063174986D+03, 1.68835352635D-01, 1.00000000000D+00, 5.21187981747D+08, 1.00000000000D+33, 1.92406816025D-01, 1.92406809373D-01, 2.46404669696D+33, 0.00000000000D+00, 6.07469527671D+05, 1.65343372869D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.94778251855D-01, 9.64801756436D-01,-5.22174814541D-03,-3.51982435640D-02, 1.88869713049D+30, 6.74330756305D+09, 6.89078012469D+09, 4.38115927039D+10, 3.33246072773D+03, 1.71433607859D-01, 1.00000000000D+00, 5.21187980321D+08, 1.00000000000D+33, 1.90753335498D-01, 1.90753328951D-01, 2.48430230947D+33, 0.00000000000D+00, 6.17702259653D+05, 1.65655979405D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.94603120164D-01, 9.64319559685D-01,-5.39687983596D-03,-3.56804403153D-02, 1.88836462350D+30, 6.73993733598D+09, 6.88725217879D+09, 4.53403786708D+10, 3.35424133120D+03, 1.74060368494D-01, 1.00000000000D+00, 5.21187947139D+08, 1.00000000000D+33, 1.89169858439D-01, 1.89169851987D-01, 2.50530119284D+33, 0.00000000000D+00, 6.28130148275D+05, 1.65931944618D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.94422338439D-01, 9.63828801454D-01,-5.57766156147D-03,-3.61711985465D-02, 1.88802138929D+30, 6.73650726999D+09, 6.88366187831D+09, 4.69215157903D+10, 3.37598535209D+03, 1.76710894814D-01, 1.00000000000D+00, 5.21187919324D+08, 1.00000000000D+33, 1.87869013515D-01, 1.87869007144D-01, 2.52697410271D+33, 0.00000000000D+00, 6.38843238490D+05, 1.66000279198D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
