# M_MTOT,R_RTOT,MATM_MTOT,RATM_RTOT,M_G,R_CM,REQ_CM,P_CGS,T_K,RHO_GCC,L_CGS,S_CGS,KROSS_CGS,GRADT,GRADAD,GRADRAD,TAUV,VSOUND_CGS,CP_CGS,X,Y,Z
 9.99999944840D-01, 9.99859014490D-01,-5.51596348597D-08,-1.40985509542D-04, 1.89861109527D+30, 6.98833393432D+09, 7.14809775904D+09, 1.41647465163D+06, 2.03282739937D+02, 1.94177828040D-04, 1.00000000000D+00, 5.21185777189D+08, 1.00000000000D+33, 3.14059500982D-01, 3.14048690173D-01, 5.77043631037D+33, 0.00000000000D+00, 1.03172106949D+05, 1.14580732633D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999938789D-01, 9.99845369107D-01,-6.12111232812D-08,-1.54630893422D-04, 1.89861108378D+30, 6.98823856238D+09, 7.14799725476D+09, 1.46217983253D+06, 2.05319514376D+02, 1.98451035815D-04, 1.00000000000D+00, 5.21185785813D+08, 1.00000000000D+33, 3.13851263022D-01, 3.13840719367D-01, 5.72376436221D+33, 0.00000000000D+00, 1.03667870379D+05, 1.14689901904D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999932542D-01, 9.99831585054D-01,-6.74584945681D-08,-1.68414946478D-04, 1.89861107192D+30, 6.98814222123D+09, 7.14789572942D+09, 1.50936717896D+06, 2.07376291292D+02, 2.02820382443D-04, 1.00000000000D+00, 5.21185832708D+08, 1.00000000000D+33, 3.13756430285D-01, 3.13746145477D-01, 5.67754208202D+33, 0.00000000000D+00, 1.04168212351D+05, 1.14776670318D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999926090D-01, 9.99817658034D-01,-7.39095270541D-08,-1.82341966399D-04, 1.89861105967D+30, 6.98804488084D+09, 7.14779315137D+09, 1.55809564254D+06, 2.09452883020D+02, 2.07290128929D-04, 1.00000000000D+00, 5.21185912470D+08, 1.00000000000D+33, 3.13345526709D-01, 3.13335495475D-01, 5.63184402555D+33, 0.00000000000D+00, 1.04647512324D+05, 1.14882100914D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999919425D-01, 9.99803578901D-01,-8.05746908084D-08,-1.96421099403D-04, 1.89861104702D+30, 6.98794647728D+09, 7.14768945326D+09, 1.60844453299D+06, 2.11548483015D+02, 2.11867100503D-04, 1.00000000000D+00, 5.21185999925D+08, 1.00000000000D+33, 3.12619882605D-01, 3.12610101793D-01, 5.58686665614D+33, 0.00000000000D+00, 1.05110331926D+05, 1.15033191682D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999912534D-01, 9.99789336074D-01,-8.74662586803D-08,-2.10663925528D-04, 1.89861103394D+30, 6.98784692962D+09, 7.14758454979D+09, 1.66050679233D+06, 2.13661965416D+02, 2.16559022114D-04, 1.00000000000D+00, 5.21186068341D+08, 1.00000000000D+33, 3.11460163553D-01, 3.11450634246D-01, 5.54285684278D+33, 0.00000000000D+00, 1.05559705232D+05, 1.15278038810D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999905405D-01, 9.99774922934D-01,-9.45947370434D-08,-2.25077065780D-04, 1.89861102040D+30, 6.98774619158D+09, 7.14747839222D+09, 1.71436203086D+06, 2.15792824759D+02, 2.21371205627D-04, 1.00000000000D+00, 5.21185935888D+08, 1.00000000000D+33, 3.10614618750D-01, 3.10605334905D-01, 5.49992065601D+33, 0.00000000000D+00, 1.06034814621D+05, 1.15523973616D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999898040D-01, 9.99760353932D-01,-1.01960313748D-07,-2.39646068319D-04, 1.89861100642D+30, 6.98764436417D+09, 7.14737108701D+09, 1.77001192360D+06, 2.17943222463D+02, 2.26297092579D-04, 1.00000000000D+00, 5.21185926982D+08, 1.00000000000D+33, 3.10253172344D-01, 3.10244125384D-01, 5.45763651826D+33, 0.00000000000D+00, 1.06545880035D+05, 1.15727355743D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999890433D-01, 9.99745634562D-01,-1.09567317552D-07,-2.54365437758D-04, 1.89861099197D+30, 6.98754148580D+09, 7.14726267463D+09, 1.82748943353D+06, 2.20114221357D+02, 2.31335170164D-04, 1.00000000000D+00, 5.21185927401D+08, 1.00000000000D+33, 3.10137490922D-01, 3.10128673013D-01, 5.41582165916D+33, 0.00000000000D+00, 1.07077294042D+05, 1.15896320188D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999882579D-01, 9.99730768746D-01,-1.17420799417D-07,-2.69231253539D-04, 1.89861097706D+30, 6.98743758387D+09, 7.14715318397D+09, 1.88683298815D+06, 2.22306703053D+02, 2.36484581822D-04, 1.00000000000D+00, 5.21185939334D+08, 1.00000000000D+33, 3.10178311818D-01, 3.10169716040D-01, 5.37433982527D+33, 0.00000000000D+00, 1.07623874964D+05, 1.16043039143D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999874470D-01, 9.99715751897D-01,-1.25530438044D-07,-2.84248102801D-04, 1.89861096167D+30, 6.98733262631D+09, 7.14704258126D+09, 1.94811599337D+06, 2.24520485519D+02, 2.41749646627D-04, 1.00000000000D+00, 5.21185988780D+08, 1.00000000000D+33, 3.09821138648D-01, 3.09812759622D-01, 5.33326077267D+33, 0.00000000000D+00, 1.08144249232D+05, 1.16193453660D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999866091D-01, 9.99700575235D-01,-1.33908698796D-07,-2.99424764831D-04, 1.89861094576D+30, 6.98722655177D+09, 7.14693080185D+09, 2.01143294195D+06, 2.26754852255D+02, 2.47137686065D-04, 1.00000000000D+00, 5.21186034214D+08, 1.00000000000D+33, 3.09361004185D-01, 3.09352837205D-01, 5.29274662293D+33, 0.00000000000D+00, 1.08658225041D+05, 1.16358940093D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999857434D-01, 9.99685234618D-01,-1.42566086492D-07,-3.14765381627D-04, 1.89861092932D+30, 6.98711933130D+09, 7.14681781524D+09, 2.07686352860D+06, 2.29009662000D+02, 2.52653476650D-04, 1.00000000000D+00, 5.21186073851D+08, 1.00000000000D+33, 3.08821727491D-01, 3.08813767669D-01, 5.25284568383D+33, 0.00000000000D+00, 1.09166499758D+05, 1.16534482313D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999848487D-01, 9.99669726676D-01,-1.51513114055D-07,-3.30273323657D-04, 1.89861091234D+30, 6.98701094135D+09, 7.14670359662D+09, 2.14448753558D+06, 2.31284867742D+02, 2.58301618320D-04, 1.00000000000D+00, 5.21186086193D+08, 1.00000000000D+33, 3.08259683846D-01, 3.08251926198D-01, 5.21358621037D+33, 0.00000000000D+00, 1.09670811377D+05, 1.16716196269D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
 9.99999839240D-01, 9.99654049443D-01,-1.60759895396D-07,-3.45950556960D-04, 1.89861089478D+30, 6.98690136816D+09, 7.14658813152D+09, 2.21438174196D+06, 2.33580596832D+02, 2.64086104743D-04, 1.00000000000D+00, 5.21186138242D+08, 1.00000000000D+33, 3.07620631810D-01, 3.07613071922D-01, 5.17496420776D+33, 0.00000000000D+00, 1.10169202165D+05, 1.16912303589D+08, 7.46379000000D-01, 2.33121000000D-01, 2.05000000000D-02
